               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11909,            0.034319,            0.046037,           0.0025848,             0.25833,            0.019887,           0.0041528,              0.1068,            0.028561,            0.043384,              0.0017,              0.0017,              0.0847
                   1,             0.10533,            0.043065,            0.040052,             0.59739,             0.20588,             0.18767,            0.054454,            0.095741,            0.030632,            0.036199,           0.0034769,           0.0034769,            0.068477
                   2,            0.094988,            0.044419,            0.032914,             0.32442,             0.33621,            0.082341,            0.020648,             0.09446,            0.027099,            0.029207,             0.00523,             0.00523,             0.05223
                   3,             0.09766,            0.038227,            0.027309,             0.18687,             0.25879,             0.19665,            0.061942,            0.091574,            0.023888,            0.022161,           0.0069594,           0.0069594,            0.035959
                   4,            0.094152,            0.034064,            0.022384,             0.12808,             0.26302,             0.15859,            0.037156,             0.10496,            0.017528,            0.016501,            0.008665,            0.008665,            0.019665
                   5,            0.098734,            0.031591,            0.019258,             0.27844,             0.56861,             0.31717,            0.094607,            0.096381,            0.017203,            0.014405,             0.00967,             0.00967,             0.00967
                   6,            0.090521,            0.031557,            0.016766,             0.15283,             0.26422,             0.17959,            0.040652,             0.10089,            0.017197,            0.012413,             0.00967,             0.00967,             0.00967
                   7,            0.085745,            0.032515,            0.015378,             0.37504,             0.75565,             0.48394,             0.14159,            0.084528,            0.024056,            0.010882,            0.009604,            0.009604,            0.009604
                   8,            0.081493,            0.029673,            0.013711,              0.3194,             0.79054,             0.40366,             0.11372,            0.080654,            0.021951,             0.01116,            0.009538,            0.009538,            0.009538
                   9,            0.075715,            0.028907,            0.013205,             0.45475,             0.83221,             0.58708,             0.20239,            0.073684,             0.01921,            0.010608,            0.009472,            0.009472,            0.009472
                  10,            0.073785,            0.029144,            0.012977,               0.663,             0.71147,              0.7138,             0.27754,            0.064681,            0.018935,             0.01014,            0.009406,            0.009406,            0.009406
                  11,            0.066719,            0.029485,            0.012531,              0.4978,             0.72467,             0.59666,             0.23311,            0.067491,            0.017129,           0.0098291,             0.00934,             0.00934,             0.00934
                  12,            0.067068,            0.029083,            0.011912,             0.54784,             0.85604,             0.64289,             0.23369,            0.063422,            0.017837,           0.0096642,            0.009274,            0.009274,            0.009274
                  13,            0.063504,            0.027721,            0.011956,             0.71315,             0.92845,             0.81111,             0.32047,            0.058833,            0.016758,            0.009657,            0.009208,            0.009208,            0.009208
                  14,            0.060938,            0.028812,            0.011128,             0.61973,             0.85948,             0.74939,              0.2871,            0.059597,            0.017152,            0.009456,            0.009142,            0.009142,            0.009142
                  15,            0.058378,            0.028483,             0.01061,             0.72971,             0.89689,             0.79686,             0.36646,            0.054552,            0.016527,             0.00939,            0.009076,            0.009076,            0.009076
                  16,            0.057072,            0.026822,            0.010328,             0.77865,             0.91475,             0.83533,             0.35556,            0.056203,            0.016551,           0.0092181,             0.00901,             0.00901,             0.00901
                  17,             0.05568,            0.025477,            0.010179,             0.90978,             0.93129,             0.93222,             0.42049,            0.052136,            0.016035,             0.00926,            0.008944,            0.008944,            0.008944
                  18,            0.057162,            0.028391,            0.010373,             0.71869,             0.74267,             0.69674,             0.27462,            0.062008,            0.015729,            0.009448,            0.008878,            0.008878,            0.008878
                  19,            0.058141,             0.02672,            0.010336,             0.91295,              0.9112,             0.91059,             0.36632,            0.056979,            0.015729,           0.0090836,            0.008812,            0.008812,            0.008812
                  20,             0.05528,            0.026031,           0.0099389,             0.91144,             0.90263,             0.91313,             0.38401,             0.05489,            0.015585,           0.0089683,            0.008746,            0.008746,            0.008746
                  21,            0.053236,            0.024898,            0.010018,             0.94465,             0.94033,             0.95801,             0.44563,            0.050234,            0.015511,           0.0088252,             0.00868,             0.00868,             0.00868
                  22,            0.050881,            0.025373,           0.0093703,             0.87428,             0.90325,             0.89499,             0.36339,            0.054108,            0.015474,           0.0088228,            0.008614,            0.008614,            0.008614
                  23,            0.051678,             0.02633,           0.0095169,             0.94904,             0.92715,              0.9492,              0.4495,            0.051288,            0.015792,           0.0088366,            0.008548,            0.008548,            0.008548
                  24,            0.052875,            0.026056,           0.0097655,             0.94912,             0.94129,             0.95412,             0.42745,            0.050468,            0.015806,            0.008849,            0.008482,            0.008482,            0.008482
                  25,             0.04921,            0.024951,           0.0091583,             0.95987,             0.96053,             0.97619,             0.51726,            0.047676,            0.015306,            0.008541,            0.008416,            0.008416,            0.008416
                  26,            0.050342,             0.02669,           0.0091197,             0.92381,              0.9568,             0.96129,             0.50526,            0.049232,            0.015589,           0.0086648,             0.00835,             0.00835,             0.00835
                  27,            0.048643,            0.025346,            0.009318,             0.96421,             0.96256,             0.97438,             0.49905,            0.047882,            0.015465,            0.008507,            0.008284,            0.008284,            0.008284
                  28,            0.050802,            0.026349,           0.0089355,              0.9447,             0.94515,             0.96518,             0.44771,            0.050753,            0.015337,           0.0084161,            0.008218,            0.008218,            0.008218
                  29,            0.049065,            0.024846,           0.0089547,             0.96465,             0.95618,             0.95677,             0.49715,            0.047377,            0.015415,           0.0083508,            0.008152,            0.008152,            0.008152
